Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Cohesive,https://www.ycombinator.com/companies/cohesive,Spring 2025,B2B,"The agentic CRM for blue-collar services. Founded in 2024 by Nam Nguyen and Kevin Zhang, Cohesive has 2 employees based in New York, NY, USA.",https://getcohesiveai.com,2024,"New York, NY, USA",Kevin Zhang; Nam Nguyen; ❌ The Problem,https://www.linkedin.com/in/kevindzhang/; https://www.linkedin.com/in/nam-nguyen96/; https://www.linkedin.com/in/kevindzhang/,https://x.com/KevinCohesive; ; 
Docket,https://www.ycombinator.com/companies/docket,Spring 2025,"B2B; Engineering, Product and Design","AI agents for web testing. Founded in 2025 by Nishant Hooda and Boris Skurikhin, Docket has 2 employees based in San Francisco, CA, USA.",https://docketqa.com,2025,"San Francisco, CA, USA",Nishant Hooda; Boris Skurikhin,https://linkedin.com/in/nishant-h; https://www.linkedin.com/in/boris-skurikhin/,; https://x.com/boriskurikhin
Sureform,https://www.ycombinator.com/companies/sureform,Spring 2025,B2B,"Real-world data for world models and robotics. Founded in 2025 by Ananth Kashyap, Sureform has 2 employees based in Palo Alto, CA, USA.",https://www.sureformhq.com,2025,"Palo Alto, CA, USA",Ananth Kashyap,https://www.linkedin.com/in/ananth-kashyap/,https://x.com/ananthkashyap99
Foundation Industries,https://www.ycombinator.com/companies/foundation-industries,Spring 2025,Industrials,"We supply hard tech companies with critical components. Founded in 2025 by Jakob Knudsen, Foundation Industries has 3 employees based in . Foundation Industries is hiring for 1 roles in operations.",https://www.foundation-industries.com,2025,,Jakob Knudsen,https://www.linkedin.com/in/jakob-knudsen5/,https://x.com/jakeknudsen5
Cascade Space,https://www.ycombinator.com/companies/cascade-space,Spring 2025,Industrials; Aviation and Space,"Deep space communications as a service. Founded in 2025 by Arlen Abraham and Jacob Portukalian, Cascade Space has 7 employees based in .",https://cascade.space,2025,,Jacob Portukalian; Arlen Abraham,https://www.linkedin.com/in/jacob-portukalian; https://www.linkedin.com/in/arlenabraham/,https://x.com/jportukalian; 
Bond,https://www.ycombinator.com/companies/bond,Spring 2025,B2B; Productivity,"Your AI Chief of Staff. Founded in 2025 by Chloe Samaha, Bond has 3 employees based in San Francisco, CA, USA. Bond is hiring for 1 roles in engineering.",https://www.bondapp.io,2025,"San Francisco, CA, USA",Chloe Samaha,https://linkedin.com/in/chloesamaha/,https://x.com/bondwithchloe
Blueshoe,https://www.ycombinator.com/companies/blueshoe,Spring 2025,B2B; Legal,"The AI platform for legal reasoning. Founded in 2025 by Casey O'Grady and Kai Yee Wan, Blueshoe has 2 employees based in Boston, MA, USA.",https://blueshoe.com,2025,"Boston, MA, USA",Casey O'Grady; Kai Yee Wan; About Us,https://www.linkedin.com/in/casey-og; https://linkedin.com/in/kywan; https://www.linkedin.com/in/casey-og,; https://x.com/kaiyeewan; 
Theorem,https://www.ycombinator.com/companies/theorem-2,Spring 2025,"B2B; Engineering, Product and Design","Program verification so even your systems engineers can vibecode. Founded in 2025 by Rajashree Agrawal and Jason Gross, Theorem has 4 employees based in San Francisco, CA, USA. Theorem is hiring for 4 roles in engineering.",https://theorem.dev,2025,"San Francisco, CA, USA",Jason Gross; Rajashree Agrawal,https://www.linkedin.com/in/jason-gross-86b72125/; https://www.linkedin.com/in/rajashreeagrawal/,https://x.com/diagram_chaser; https://x.com/___rajashree___
Text.ai,https://www.ycombinator.com/companies/text-ai,Spring 2025,Consumer,"Alfi - your group chat with social skills to bring friends closer. Founded in 2024 by Paras Maniar, Prahar Patel, and Rushi Shah, Text.ai has 4 employees based in San Francisco, CA, USA. Text.ai is hiring for 1 roles in engineering.",https://www.text.ai,2024,"San Francisco, CA, USA",Rushi Shah; Paras Maniar; Prahar Patel,https://www.linkedin.com/in/rushishah01/; https://www.linkedin.com/in/parasmaniar/; https://www.linkedin.com/in/prahar-patel,https://x.com/irushishah; https://x.com/parasmaniar; https://x.com/PraharPatel55
StarSling,https://www.ycombinator.com/companies/starsling,Spring 2025,"B2B; Engineering, Product and Design","Cursor for DevOps. Founded in 2025 by Yonas Beshawred and Daniel Worku, StarSling has 2 employees based in San Francisco, CA, USA. StarSling is hiring for 2 roles in engineering.",https://www.starsling.dev,2025,"San Francisco, CA, USA",Yonas Beshawred; Daniel Worku,https://www.linkedin.com/in/yonas-beshawred/; https://www.linkedin.com/in/worku,https://x.com/yonasbe; https://x.com/dbworku
