Company,YC Page,Description,Industry,Company Website,Founders,founders_linkedin,founders_linkedin,founders_twitter,Founding Year,Headquarters
Fleetline,https://www.ycombinator.com/companies/fleetline,"Optimizing fleet planning with data driven algorithms. Founded in 2025 by Veer Juneja and Saurav Kumar, Fleetline has 2 employees based in San Francisco, CA, USA. Fleetline is hiring for 2 roles in engineering.",B2B;SUPPLY CHAIN AND LOGISTICS,,Saurav Kumar;Veer Juneja,https://linkedin.com/in/sauravml;https://www.linkedin.com/in/veer-juneja-67255417a/,https://linkedin.com/in/sauravml;https://www.linkedin.com/in/veer-juneja-67255417a/,https://twitter.com/sauravml;,,
PARES AI,https://www.ycombinator.com/companies/pares-ai,"Helping commercial real estate brokers find and close more deals. Founded in 2025 by Zihao Wang, PARES AI has 3 employees based in San Francisco, CA, USA.",REAL ESTATE AND CONSTRUCTION,,Zihao Wang,https://www.linkedin.com/in/zihao-wang-mh/,https://www.linkedin.com/in/zihao-wang-mh/,,,
Cacao,https://www.ycombinator.com/companies/cacao,"The Global Dollar App for Brazil. Founded in 2025 by Alec Howard, Carlos Jimenez, and Michael Mason, Cacao has 3 employees based in São Paulo, State of São Paulo, Brazil.",FINTECH,,Alec Howard;Carlos Jimenez;Michael Mason,https://linkedin.com/in/alexandermhoward;https://www.linkedin.com/in/carlosjimenezcastrillo/;https://www.linkedin.com/in/mason-michael/,https://linkedin.com/in/alexandermhoward;https://www.linkedin.com/in/carlosjimenezcastrillo/;https://www.linkedin.com/in/mason-michael/,https://x.com/alecmhoward;https://x.com/carlosjc__;,,
Shor,https://www.ycombinator.com/companies/shor,"The fastest, most affordable payroll for global teams. Founded in 2025 by Daivik Goel and Avi Konduru, Shor has 3 employees based in San Francisco, CA, USA.",FINTECH;PAYMENTS,,Daivik Goel;Avi Konduru,https://linkedin.com/in/daivikg;https://linkedin.com/in/kumaravinash-avi-konduru-54b3a6bb,https://linkedin.com/in/daivikg;https://linkedin.com/in/kumaravinash-avi-konduru-54b3a6bb,https://x.com/daivikgoel;https://x.com/avikonduru,,
Golpo,https://www.ycombinator.com/companies/golpo,"Most Powerful AI Video Gen Model for Explainer Videos From Documents. Founded in 2024 by Shraman Kar and Shreyas Kar, Golpo has 2 employees based in San Francisco, CA, USA.",B2B;PRODUCTIVITY,,Shraman Kar;Shreyas Kar;Golpo: The most powerful AI video generator for explainer videos,https://www.linkedin.com/in/shraman-kar/;https://www.linkedin.com/in/shreyas-kar/;https://www.linkedin.com/company/golpo-ai/,https://www.linkedin.com/in/shraman-kar/;https://www.linkedin.com/in/shreyas-kar/;https://www.linkedin.com/company/golpo-ai/,https://x.com/ShramanKar;https://x.com/KarShreyas;https://x.com/GolpoAI,,
Altur,https://www.ycombinator.com/companies/altur,"Voice AI Agents for Debt Collection. Founded in 2023 by Pedro Fernández and Luis Olave, Altur has 4 employees based in San Francisco, CA, USA.",B2B,,Luis Olave;Pedro Fernández,https://linkedin.com/in/luis-olave;https://www.linkedin.com/in/pedrofdzl,https://linkedin.com/in/luis-olave;https://www.linkedin.com/in/pedrofdzl,;,,
Avelis Health,https://www.ycombinator.com/companies/avelis-health,"Angel studied CS/Econ at Harvard and is a 3x founder. He scaled his first company to 60+ enterprise partnerships with financial institutions (Goldman Sachs, JPMorgan, Bank of America). In 2021, he and Ahmad founded Zuvy, a fintech company based in Nigeria, which was acquired by a PE firm in 2025. Earlier, Ahmad built healthcare data platforms for the Nigerian government, serving 20M+ people.",HEALTHCARE;HEALTHCARE IT,,Angel Onuoha;Ahmad Shehu,https://www.linkedin.com/in/angel-onuoha/;https://www.linkedin.com/in/ahmad-shehu/,https://www.linkedin.com/in/angel-onuoha/;https://www.linkedin.com/in/ahmad-shehu/,https://x.com/angelonuoha7;https://x.com/ahmxrd,,
Perspectives Health,https://www.ycombinator.com/companies/perspectives-health,"AI Agent for Clinic EMRs. Founded in 2024 by Eshan Dosani, Kyle Hyun Woo Jung, and Nicholas Kovalsky, Perspectives Health has 4 employees based in San Francisco, CA, USA.",HEALTHCARE;HEALTHCARE IT,,Eshan Dosani;Kyle Hyun Woo Jung;Nicholas Kovalsky,https://www.linkedin.com/in/eshan-dosani/;https://www.linkedin.com/in/kyle-hyun-woo-jung-a06814180/;https://www.linkedin.com/in/nicholaskovalsky/,https://www.linkedin.com/in/eshan-dosani/;https://www.linkedin.com/in/kyle-hyun-woo-jung-a06814180/;https://www.linkedin.com/in/nicholaskovalsky/,https://x.com/EshanDosani;;https://x.com/nickbuildin,,
Nautilus,https://www.ycombinator.com/companies/nautilus,"AI platform to grow and to optimize car washes. Founded in 2024 by Amayr Babar and Ali Sareini, Nautilus has 2 employees based in San Francisco, CA, USA.",B2B;SALES,,Amayr Babar;Ali Sareini,https://linkedin.com/in/amayrbabar;https://www.linkedin.com/in/alisareini/,https://linkedin.com/in/amayrbabar;https://www.linkedin.com/in/alisareini/,;,,
Paloma,https://www.ycombinator.com/companies/paloma,"AI-native CRM for putting post-sales operations on autopilot. Founded in 2025 by Alex Avnit, Nazli Danis, and Kaiwen Song, Paloma has 3 employees based in San Francisco, CA, USA.",B2B,,Nazli Danis;Alex Avnit;Kaiwen Song,https://www.linkedin.com/in/nazlidanis/;https://www.linkedin.com/in/alex-avnit-222b3611a/;https://www.linkedin.com/in/kaiwen-song/,https://www.linkedin.com/in/nazlidanis/;https://www.linkedin.com/in/alex-avnit-222b3611a/;https://www.linkedin.com/in/kaiwen-song/,https://x.com/nazlidanis;;,,
Async,https://www.ycombinator.com/companies/async,"AI-native Linear. Founded in 2025 by Paul Bae and Mikkel Kim, Async has 2 employees based in .",B2B;PRODUCTIVITY,,Paul Bae;Mikkel Kim,https://www.linkedin.com/in/pybae;https://www.linkedin.com/in/mikkel-kim-488b88b3,https://www.linkedin.com/in/pybae;https://www.linkedin.com/in/mikkel-kim-488b88b3,;,,
Humoniq,https://www.ycombinator.com/companies/humoniq,"AI-Native BPO for travel & transport. Founded in 2025 by Todd Sullivan and Will Weber, Humoniq has 2 employees based in San Francisco, CA, USA. Humoniq is hiring for 1 roles in engineering.",B2B,,Todd Sullivan;Will Weber;Humoniq - AI Contact Center for Travel,https://www.linkedin.com/in/todsul/;https://www.linkedin.com/in/w-weber/;https://www.linkedin.com/in/w-weber/,https://www.linkedin.com/in/todsul/;https://www.linkedin.com/in/w-weber/;https://www.linkedin.com/in/w-weber/,https://x.com/todsul;;,,
Interfere,https://www.ycombinator.com/companies/interfere,"Next-gen observability that finds & fixes bugs automatically. Founded in 2025 by Luke Shiels, Interfere has 2 employees based in . Interfere is hiring for 1 roles in design.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Luke Shiels,https://linkedin.com/in/shiels,https://linkedin.com/in/shiels,https://x.com/lukeshiels_,,
