Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Red Barn Robotics,https://www.ycombinator.com/companies/red-barn-robotics,Winter 2025,Industrials; Agriculture,"A Roomba for weeds on a farm. . Founded in 2023 by Adam Iseman, Ilya Kelner, and Alex Neff, Red Barn Robotics has 5 employees based in .",https://www.redbarnrobotics.com,2023,,Adam Iseman; Ilya Kelner; Alex Neff,https://linkedin.com/in/adamiseman; https://www.linkedin.com/in/ilyakelner/; https://www.linkedin.com/in/alex-neff-2245732b/,; ; 
Vantel,https://www.ycombinator.com/companies/vantel,Winter 2025,Fintech; Insurance,"AI Platform for Commercial Insurance Brokerages. Founded in 2024 by Love Redin and Ulme Wennberg, Vantel has 4 employees based in .",https://vantel.com,2024,,Love Redin; Ulme Wennberg; Why Now?,https://www.linkedin.com/in/love-redin/; https://www.linkedin.com/in/ulme-wennberg/; https://www.linkedin.com/in/love-redin/,https://x.com/redinvantel; https://x.com/UlmeW; 
Fira,https://www.ycombinator.com/companies/fira,Winter 2025,B2B; Finance and Accounting,"Financial research platform for investment firms. Founded in 2025 by Alexey Taktarov and Alex Tkachenko, Fira has 4 employees based in .",https://firaresearch.com,2025,,Alex Tkachenko; Alexey Taktarov,https://linkedin.com/in/alextcn; https://www.linkedin.com/in/molefrog/,https://twitter.com/jackqack; https://twitter.com/mlfrg
Axal,https://www.ycombinator.com/companies/axal,Winter 2025,B2B,"AI Workers for Manufacturing and Distribution . Founded in 2025 by Samai Patel and Nand Vinchhi, Axal has 13 employees based in San Francisco, CA, USA.",https://www.axal.ai,2025,"San Francisco, CA, USA",Samai Patel; Nand Vinchhi,https://www.linkedin.com/in/samaipatel; https://www.linkedin.com/in/nandvinchhi,; 
TrainLoop,https://www.ycombinator.com/companies/trainloop,Winter 2025,"B2B; Engineering, Product and Design","Reasoning Fine-Tuning. Founded in 2025 by Mason Pierce and Jackson Stokes, TrainLoop has 6 employees based in San Francisco, CA, USA.",http://trainloop.ai,2025,"San Francisco, CA, USA",Jackson Stokes; Mason Pierce,https://www.linkedin.com/in/jacksonstokes/; https://www.linkedin.com/in/malapier,; https://x.com/mlpierce22
Candid:,https://www.ycombinator.com/companies/trycandid,Winter 2025,B2B,". Founded in 2025 by Rami Ghanem, Candid has 2 employees based in .",https://www.tallyhq.com,2025,,Rami Ghanem,https://linkedin.com/in/ramighanem,https://www.twitter.com/ramigh
SAMMY Labs,https://www.ycombinator.com/companies/sammy-labs,Winter 2025,B2B,"SAMMY Labs, the knowledge layer for your people and AI. Founded in 2024 by Joe Savidge and Shav Vimalendiran, SAMMY Labs has 10 employees based in . SAMMY Labs is hiring for 1 roles in engineering.",https://www.sammylabs.com,2024,,Joe Savidge; Shav Vimalendiran; Company Launches,https://www.linkedin.com/in/josephsavidge; https://www.linkedin.com/in/shavvimalendiran/; https://www.linkedin.com/in/josephsavidge/,; https://x.com/Shavtge; 
Instinct,https://www.ycombinator.com/companies/instinct,Winter 2025,Industrials; Aviation and Space,"Building lunar landers. Founded in 2024 by Joaquim Dickson, Ashwin Iyer, and Alex Pinel Neparidze, Instinct has 4 employees based in .",https://www.instinct-space.com,2024,,Alex Pinel Neparidze; Joaquim Dickson; Ashwin Iyer,https://www.linkedin.com/in/alex-pinel/; https://www.linkedin.com/in/joaquim-ropd/; https://www.linkedin.com/in/ashwin-iyer-626263245/,https://x.com/Alex__Pinel; ; 
Mercura,https://www.ycombinator.com/companies/mercura,Winter 2025,B2B; Sales,"AI Quote and Order Automation for Distributors & Manufacturers. Founded in 2024 by Lukas Bock and Stefan Zheng, Mercura has 14 employees based in . Mercura is hiring for 16 roles in operations, engineering, design, recruiting & hr, support, and sales.",https://www.mercura.ai,2024,,Lukas Bock; Stefan Zheng,https://www.linkedin.com/in/lukas-bock-7636a0131; https://www.linkedin.com/in/stefan-zheng/,; 
Cedar,https://www.ycombinator.com/companies/cedar,Winter 2025,"B2B; Engineering, Product and Design","Execute the best sales playbook in industry. Founded in 2025 by Isabelle Ilyia and Jesse Li, Cedar has 2 employees based in .",https://mail.cedarcopilot.com,2025,,Jesse Li; Isabelle Ilyia,https://linkedin.com/in/jesseli751; https://linkedin.com/in/isabelle-i,https://x.com/fish_in_a_pool; https://x.com/isabelleilyia
