Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
DreamRP,https://www.ycombinator.com/companies/dreamrp,Summer 2024,Consumer,"Tech and platforms for human creators and the entertainment industry. Founded in 2024 by Phillip Huang, DreamRP has 2 employees based in San Francisco, CA, USA.",https://www.dreamrp.com,2024,"San Francisco, CA, USA",Phillip Huang; Enter DreamRP,https://linkedin.com/in/philliphuang; https://linkedin.com/in/philliphuang,; https://x.com/Yuumei_Art/status/1813861897198096886
SimCare,https://www.ycombinator.com/companies/simcare,Summer 2024,Healthcare,"AI avatars to scale healthcare training. Founded in 2024 by Tiko Bdoyan and Vrishank Saini, SimCare has 7 employees based in San Francisco, CA, USA. SimCare is hiring for 1 roles in operations.",https://simcare.ai,2024,"San Francisco, CA, USA",Vrishank Saini; Tiko Bdoyan; The Team,https://www.linkedin.com/in/vrishanksaini/; https://www.linkedin.com/in/tigran-bdoyan/details/experience/; https://www.linkedin.com/in/vrishanksaini/,; ; 
Arva AI,https://www.ycombinator.com/companies/arva-ai,Summer 2024,B2B,"AI Agents to scale AML, KYB and KYC operations. Founded in 2024 by Rhim Shah and Oli Wales, Arva AI has 14 employees based in . Arva AI is hiring for 7 roles in sales, product, and engineering.",https://www.arva.ai,2024,,Rhim Shah; Oli Wales; ❌ The Problem,https://linkedin.com/in/rhim-shah; https://linkedin.com/in/oliverfwales; https://www.linkedin.com/in/rhim-shah/,; ; 
Capitol AI,https://www.ycombinator.com/companies/capitol-ai,Summer 2024,B2B; Productivity,"Capitol: the sovereign operating system for intelligence. Founded in 2021 by thomas hallaran and Shaun Modi, Capitol AI has 11 employees based in Washington, DC, USA. Capitol AI is hiring for 2 roles in engineering.",https://www.capitol.ai,2021,"Washington, DC, USA",Shaun Modi; Founder; The Business Problem,https://www.linkedin.com/in/shaunmodi/; https://www.linkedin.com/in/tomhallaran/; https://www.linkedin.com/in/shaunmodi/,https://twitter.com/shaunmodi; ; https://x.com/usecapitol
Void,https://www.ycombinator.com/companies/void,Summer 2024,"B2B; Engineering, Product and Design","The open source Cursor alternative. Founded in 2024 by Andrew Pareles and Mathew Pareles, Void has 2 employees based in San Francisco, CA, USA.",https://useglass.ai,2024,"San Francisco, CA, USA",Andrew Pareles; Mathew Pareles; 🙏 Asks,https://linkedin.com/in/andrew-pareles; https://linkedin.com/in/mathew-pareles/; https://linkedin.com/in/mathew-pareles/,https://x.com/andrew_pareles; ; 
Henry,https://www.ycombinator.com/companies/henry-2,Summer 2024,Real Estate and Construction,"Automating Deal Decks for Commercial Real Estate Brokers. Founded in 2024 by Sammy Greenwall and Adam Pratt, Henry has 20 employees based in New York, NY, USA.",http://www.henry.ai,2024,"New York, NY, USA",Sammy Greenwall; Adam Pratt; Company Launches,https://www.linkedin.com/in/sammy-greenwall-387b3256/; https://www.linkedin.com/in/adam-pratt-73a4aa103/; https://www.linkedin.com/in/sammy-greenwall-387b3256/,; ; 
RowBoat Labs,https://www.ycombinator.com/companies/rowboat-labs,Summer 2024,"B2B; Engineering, Product and Design","Open-source AI-assisted agent builder. Founded in 2024 by Arjun Maheswaran and Ramnique Singh, RowBoat Labs has 3 employees based in San Francisco, CA, USA.",https://www.rowboatlabs.com,2024,"San Francisco, CA, USA",Arjun Maheswaran; Ramnique Singh; Problem,https://linkedin.com/in/arjunmaheswaran; https://www.linkedin.com/in/ramnique; https://linkedin.com/in/arjunmaheswaran,https://twitter.com/segmenta; ; 
Pipeshift,https://www.ycombinator.com/companies/pipeshift,Summer 2024,B2B; Infrastructure,"Inference for real-time production workloads. Founded in 2024 by Arko C, Enrique Ferrao, and Pranav Reddy, Pipeshift has 10 employees based in San Francisco, CA, USA.",https://pipeshift.com,2024,"San Francisco, CA, USA",Arko C; Enrique Ferrao; Pranav Reddy,https://linkedin.com/in/arkoc; https://linkedin.com/in/enrique-ferrao; https://linkedin.com/in/pranavreddyg,; https://x.com/FerraoEnrique; https://x.com/pranavreddyg
Terra,https://www.ycombinator.com/companies/terra-2,Summer 2024,B2B; Supply Chain and Logistics,"Design and sell products in minutes. Founded in 2024 by Lev Glushkovskii and Dylan McFarland, Terra has 6 employees based in . Terra is hiring for 1 roles in engineering.",https://useterra.com,2024,,Lev Glushkovskii; Dylan McFarland; —,https://www.linkedin.com/in/lev-glushkovskii/; https://www.linkedin.com/in/dylan-mcfarland/; https://www.linkedin.com/in/dylan-mcfarland/,; ; 
"Diode Computers, Inc.",https://www.ycombinator.com/companies/diode-computers-inc,Summer 2024,"B2B; Engineering, Product and Design","Automate circuit board design using AI. Founded in 2024 by Davide Asnaghi and Lenny Khazan, Diode Computers, Inc. has 3 employees based in New York, NY, USA. Diode Computers, Inc. is hiring for 2 roles in engineering.",https://diode.computer,2024,"New York, NY, USA",Davide Asnaghi; Lenny Khazan; Problem,https://linkedin.com/in/d-asnaghi; https://www.linkedin.com/in/lennykhazan; https://www.linkedin.com/in/lennykhazan/,https://x.com/davideasnaghi; https://twitter.com/LennyKhazan; https://x.com/davideasnaghi
Bucket Robotics,https://www.ycombinator.com/companies/bucket-robotics,Summer 2024,Industrials; Manufacturing and Robotics,"Defect detection for manufacturing built from CAD and synthetic data. Founded in 2024 by Matt Puchalski, Bucket Robotics has 5 employees based in . Bucket Robotics is hiring for 2 roles in engineering.",https://bucket.bot,2024,,Matt Puchalski; 👥 The Team,https://www.linkedin.com/in/matt-puchalski/; https://www.linkedin.com/in/matt-puchalski/,https://x.com/lasermatts; 
Elayne,https://www.ycombinator.com/companies/elayne,Summer 2024,Fintech,"AI copilot for growing, organizing, and transferring family estates. Founded in 2024 by Adria Ferrier and Rebecca Lee, Elayne has 6 employees based in New York, NY, USA.",https://www.elayne.com,2024,"New York, NY, USA",Adria Ferrier; Rebecca Lee; 👫 The Team,https://www.linkedin.com/in/adria-ferrier-8b242836/; https://www.linkedin.com/in/rebeccablee1; https://www.linkedin.com/in/adria-ferrier-8b242836/,; https://twitter.com/beccablee; 
Blaze,https://www.ycombinator.com/companies/blaze-2,Summer 2024,Fintech; Payments,"Global Venmo for cross border payments. Founded in 2023 by Faiyam Rahman and Luc Succès, Blaze has 5 employees based in Mexico City, CDMX, Mexico. Blaze is hiring for 3 roles in engineering and marketing.",https://blaze.money,2023,"Mexico City, CDMX, Mexico",Faiyam Rahman; Luc Succès; 📱 App Preview,https://linkedin.com/in/faiyam-rahman; https://www.linkedin.com/in/lucsucces; https://www.linkedin.com/in/lucsucces,https://x.com/faiyamrahman?s=21; https://x.com/lucsucces; 
pap!,https://www.ycombinator.com/companies/pap,Summer 2024,Consumer,"Agents that earn consumers dollars when they shop, travel, and live. Founded in 2024 by Kamal Nahas, Anthony Rassi, and Weijie Wang, pap! has 3 employees based in Berkeley, CA, USA.",https://joinpap.com,2024,"Berkeley, CA, USA",Kamal Nahas; Anthony Rassi; Weijie Wang; The Problem 🚩,https://www.linkedin.com/in/kamal-nahas/; https://www.linkedin.com/in/anthonyrassi; https://www.linkedin.com/in/wjwang2/; https://www.linkedin.com/in/wjwang2/,; https://x.com/anthonyrassi_; ; 
TradeFlow,https://www.ycombinator.com/companies/tradeflow,Summer 2024,Fintech,"AI-powered settlement for financial securities. Founded in 2024 by Liam Breen and Taryn Reardon, TradeFlow has 2 employees based in New York, NY, USA.",https://www.tradeflowai.com,2024,"New York, NY, USA",Taryn Reardon; Liam Breen; About Us,https://www.linkedin.com/in/taryn-reardon/; https://www.linkedin.com/in/liam-b-456081124/; https://www.linkedin.com/in/taryn-reardon/,; ; 
Quetzal,https://www.ycombinator.com/companies/quetzal,Summer 2024,"B2B; Engineering, Product and Design","Simple, LLM-first translation and internationalization for software. Founded in 2024 by Brendan Agliardo and John Thompson, Quetzal has 2 employees based in Oakland, CA, USA.",https://getquetzal.com,2024,"Oakland, CA, USA",John Thompson,https://linkedin.com/in/jthompson4004,
Typa,https://www.ycombinator.com/companies/typa,Summer 2024,B2B; Marketing,"The content engine that wins attention and drives growth. Founded in 2023 by Andrew Chung and Junyoung Park, Typa has 2 employees based in San Francisco, CA, USA.",https://typa.ai,2023,"San Francisco, CA, USA",Andrew Chung; Junyoung Park; 🔒 Problem,https://linkedin.com/in/aschung01; https://www.linkedin.com/in/jun-park314/; https://www.linkedin.com/in/jun-park314/,https://twitter.com/aschung01; ; https://x.com/weaveldotai
"Sterling Labs, Inc",https://www.ycombinator.com/companies/sterling-labs-inc,Summer 2024,Consumer; Content,"Currently in stealth - previously FocusBuddy. Founded in 2024 by Yash Ramchandani and Adnan Sherif, Sterling Labs, Inc has 2 employees based in San Francisco, CA, USA.",https://www.focusbuddy.ai,2024,"San Francisco, CA, USA",Adnan Sherif; Yash Ramchandani; TLDR,https://www.linkedin.com/in/adnan-sherif-as/; https://www.linkedin.com/in/yashmr/; https://www.linkedin.com/in/adnan-sherif-as/,; https://twitter.com/yash14700/; 
Orca Launcher,https://www.ycombinator.com/companies/orca-launcher,Summer 2024,Consumer,"A launcher that turns Minecraft into a game platform like Roblox . Founded in 2024 by Ege Kaan Duman and Ali Kavoosi, Orca Launcher has 2 employees based in San Francisco, CA, USA.",https://orcalauncher.com,2024,"San Francisco, CA, USA",Ege Kaan Duman; Ali Kavoosi; Raveen Kariyawasam; Team,https://www.linkedin.com/in/ege-kaan-duman-445731173/; https://www.linkedin.com/in/alikav/; https://linkedin.com/in/raveen-kariyawasam-84b368295; https://www.linkedin.com/in/raveen-kariyawasam-84b368295/,https://x.com/egekduman; ; ; 
