Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Cardinal,https://www.ycombinator.com/companies/trycardinal-ai,Winter 2026,B2B,"AI Platform for Precision Outbound. Founded in  by Devi Jha and Jianna Liu, Cardinal has 0 employees based in . Cardinal is hiring for 3 roles in design, engineering, and sales.",https://trycardinal.ai,,,Devi Jha; Jianna Liu,https://linkedin.com/in/devishijha; https://linkedin.com/in/jianna-liu-90747413b,; 
Wideframe,https://www.ycombinator.com/companies/wideframe,Winter 2026,B2B,"AI coworker for video editors to ship more video faster. Founded in 2025 by Zachary Kim and Daniel Pearson, Wideframe has 2 employees based in .",https://wideframe.com,2025,,Daniel Pearson; Zachary Kim; User Testimonials,https://www.linkedin.com/in/danielvpearson/; https://www.linkedin.com/in/heyzk/; https://www.linkedin.com/in/danielvpearson/,https://x.com/danielpearson; https://twitter.com/heyzk; 
Remix,https://www.ycombinator.com/companies/remix-3,Winter 2026,Consumer,"Social media content auto-generated with your existing data. Founded in 2025 by Sam Kaplan, Remix has 0 employees based in . Remix is hiring for 1 roles in marketing.",https://remix.re,2025,,Sam Kaplan,https://www.linkedin.com/in/samrkaplan/,https://x.com/samrkaplan
Shofo,https://www.ycombinator.com/companies/shofo,Winter 2026,B2B; Infrastructure,"The World's Largest Video Library. Founded in 2025 by Andre Braga, Braiden Dishman, Bryan Hong, and Alexzendor Misra, Shofo has 4 employees based in .",https://shofo.ai,2025,,Bryan Hong; Andre Braga; Braiden Dishman; Alexzendor Misra,https://www.linkedin.com/in/zixihong; https://www.linkedin.com/in/andre-braga-nlp; https://www.linkedin.com/in/braiden-dishman/; https://www.linkedin.com/in/alexzendor-misra-15907a23b/,https://x.com/zixihong_; ; https://x.com/BraidenDishman; https://x.com/AlexzendorMisra
Wayco,https://www.ycombinator.com/companies/wayco,Winter 2026,B2B; Infrastructure,"AI operator for medlegal cases. Founded in 2025 by Iqbol Temirkhojaev, Wayco has 1 employees based in . Wayco is hiring for 1 roles in engineering.",https://wayco.ai,2025,,Iqbol Temirkhojaev; Founded:,https://www.linkedin.com/in/iqbolkhoja/; https://www.linkedin.com/in/iqbolkhoja/,https://x.com/iqbol_t; 
Unifold,https://www.ycombinator.com/companies/unifold,Winter 2026,Fintech; Payments,"Multi-chain deposit and payment infrastructure. Founded in 2026 by Hau Chu, Timothy Chung, and Quang Huynh, Unifold has 3 employees based in .",https://unifold.io,2026,,Timothy Chung; Hau Chu; Quang Huynh,https://www.linkedin.com/in/timchunght; https://www.linkedin.com/in/hauchu1998; https://www.linkedin.com/in/quang-huynh-468488305/,; ; 
Carrot Labs,https://www.ycombinator.com/companies/carrot-labs,Winter 2026,B2B,"Continuous Fine-Tuning for AI Models. Founded in 2026 by Christopher Acker and Yuta Baba, Carrot Labs has 2 employees based in San Francisco, CA, USA.",https://carrotlabs.ai,2026,"San Francisco, CA, USA",Christopher Acker; Yuta Baba,https://www.linkedin.com/in/christopher-acker-4711a3177/; https://www.linkedin.com/in/yutababa/,; https://x.com/yuta__baba
Aurorin CAD,https://www.ycombinator.com/companies/aurorin-cad,Winter 2026,"B2B; Engineering, Product and Design","Claude code for Mechanical Engineers. Founded in 2026 by Michael Baron, Aurorin CAD has 1 employees based in .",https://aurorincad.com,2026,,Michael Baron,https://www.linkedin.com/in/michael-andrew-baron/,https://x.com/nominalaviator?s=21
Fixture,https://www.ycombinator.com/companies/fixture,Winter 2026,B2B; Sales,"An AI-first CRM built for Startups. Founded in 2026 by Quin Hoxie and Matt Riley, Fixture has 5 employees based in .",https://fixture.app,2026,,Matt Riley; Quin Hoxie,https://www.linkedin.com/in/matthewriley/; https://www.linkedin.com/in/qhoxie,http://twitter.com/matthewriley; 
DAIVIN!,https://www.ycombinator.com/companies/daivin,Winter 2026,Industrials; Defense,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space. Founded in 2025 by Leo Kankkunen, DAIVIN! has 1 employees based in .",https://www.daivin.tech,2025,,Leo Kankkunen; 👤 The Team,https://www.linkedin.com/in/leo-kankkunen/; https://www.linkedin.com/in/leo-kankkunen/,https://x.com/se4lion; https://x.com/DAIVIN_TECH
