Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Loombotic,https://www.ycombinator.com/companies/loombotic,Fall 2024,Industrials; Manufacturing and Robotics,"Wire Harnesses in as little as 7 days. Founded in 2024 by Ethan Breit and Lucas Crupi, Loombotic has 11 employees based in .",https://www.loombotic.com,2024,,Lucas Crupi; Ethan Breit,https://linkedin.com/in/lucas-crupi-4a7037177; https://linkedin.com/in/ethan-breit-a7ba81180,; 
Careforce,https://www.ycombinator.com/companies/careforce,Fall 2024,Healthcare; Healthcare IT,"AI Workers for Healthcare Orgs to Find, Call & Schedule More Patients. Founded in 2024 by Huzaifa Sial, Careforce has 9 employees based in Oakland, CA, USA. Careforce is hiring for 2 roles in product and engineering.",https://careforce.ai,2024,"Oakland, CA, USA",Huzaifa Sial; The Problem,https://www.linkedin.com/in/hsial/; https://www.linkedin.com/in/hsial/,; 
Ember,https://www.ycombinator.com/companies/ember,Fall 2024,Healthcare,"AI RCM. A/R Analysis in 3 days or less. Reduce claim denials by 55%. . Founded in 2022 by Charlene Wang and Warren Wang, Ember has 10 employees based in San Francisco, CA, USA. Ember is hiring for 4 roles in engineering, sales, and marketing.",https://www.embercopilot.ai,2022,"San Francisco, CA, USA",Charlene Wang; Warren Wang; Solution,https://linkedin.com/in/hsinleiwang; https://www.linkedin.com/in/warrenweinwang; https://linkedin.com/in/hsinleiwang,https://twitter.com/hsinleiwang; ; 
Friday,https://www.ycombinator.com/companies/friday,Fall 2024,Consumer,"The AI Assistant for Gmail. Founded in 2024 by Allen Naliath, Friday has 5 employees based in San Francisco, CA, USA.",https://www.friday.so,2024,"San Francisco, CA, USA",Allen Naliath,https://www.linkedin.com/in/allennaliath/,https://x.com/AllenNaliath
SRE.ai,https://www.ycombinator.com/companies/sre-ai,Fall 2024,B2B; Infrastructure,"AI DevOps Agents. Founded in 2024 by Edward Aryee and Raj Kadiyala, SRE.ai has 5 employees based in San Francisco, CA, USA.",https://sre.ai,2024,"San Francisco, CA, USA",Raj Kadiyala; Edward Aryee; The Problem,https://www.linkedin.com/in/rajsekhark/; https://www.linkedin.com/in/edwardaryee/; https://www.linkedin.com/in/edwardaryee/,; ; 
Ryvn,https://www.ycombinator.com/companies/ryvn,Fall 2024,B2B; Infrastructure,"Easy and secure customer cloud deployments. Founded in 2024 by Albert Lam and Shardool Patel, Ryvn has 5 employees based in New York, NY, USA. Ryvn is hiring for 1 roles in engineering.",https://ryvn.ai,2024,"New York, NY, USA",Albert Lam; Shardool Patel; 🔥 The Team,https://linkedin.com/in/simplyalam; https://www.linkedin.com/in/sp97/; https://www.linkedin.com/in/simplyalam/,https://x.com/albertlam_; ; 
Melder,https://www.ycombinator.com/companies/melder,Fall 2024,B2B; Productivity,"AI formulas and document support for Microsoft Excel. Founded in 2024 by Philip Brewer and Ashwin Dharne, Melder has 2 employees based in New York, NY, USA.",https://melder.io,2024,"New York, NY, USA",Ashwin Dharne; Philip Brewer; Launch Video,https://www.linkedin.com/in/ashwindharne/; https://www.linkedin.com/in/philip-brewer/; https://www.linkedin.com/in/ashwindharne/,https://x.com/AshwinDharne; ; 
Surge,https://www.ycombinator.com/companies/surge,Fall 2024,"B2B; Engineering, Product and Design","Stripe for telephony. Founded in 2024 by Dennis Beatty and Brett Beatty, Surge has 3 employees based in Lehi, UT, USA.",https://surge.app,2024,"Lehi, UT, USA",Dennis Beatty; Brett Beatty; The Problem,https://linkedin.com/in/dnsbty; https://www.linkedin.com/in/brett-t-beatty; https://linkedin.com/in/dnsbty,https://x.com/dnsbty; https://twitter.com/brett_beatty; 
Diffusion Studio,https://www.ycombinator.com/companies/diffusion-studio,Fall 2024,Consumer; Content,"Professional-grade video editing, in your browser. Founded in 2023 by Konstantin Paulus, Diffusion Studio has 3 employees based in San Francisco, CA, USA.",https://diffusion.studio,2023,"San Francisco, CA, USA",Konstantin Paulus,https://www.linkedin.com/in/konstantin-paulus,
BrowserBook,https://www.ycombinator.com/companies/browserbook,Fall 2024,B2B; Productivity,"The Browser Automation IDE. Founded in 2024 by Jorrie Brettin and Christopher Schlaepfer, BrowserBook has 3 employees based in New York, NY, USA.",https://www.browserbook.com,2024,"New York, NY, USA",Christopher Schlaepfer; Jorrie Brettin; Hey YC!,https://www.linkedin.com/in/cschlaep/; https://www.linkedin.com/in/jorrie-brettin-349a6383/; https://www.linkedin.com/in/cschlaep/,; ; 
Alex,https://www.ycombinator.com/companies/alex,Fall 2024,"B2B; Engineering, Product and Design","The Cursor for Xcode. Founded in 2024 by Daniel Edrisian, Alex has 3 employees based in San Francisco, CA, USA. Alex is hiring for 1 roles in engineering.",https://alexcodes.app,2024,"San Francisco, CA, USA",Daniel Edrisian,https://www.linkedin.com/in/daniel-edrisian/,https://x.com/DanielEdrisian
Innate,https://www.ycombinator.com/companies/innate,Fall 2024,Consumer; Consumer Electronics,"Personal AI Robots. Founded in 2024 by Vignesh Anand and Axel Peytavin, Innate has 5 employees based in Palo Alto, CA, USA.",https://innate.bot,2024,"Palo Alto, CA, USA",Axel Peytavin; Vignesh Anand,https://linkedin.com/in/axel-peytavin; https://www.linkedin.com/in/vignesh-anand-iitb/,https://x.com/ax_pey; 
CollectWise,https://www.ycombinator.com/companies/collectwise,Fall 2024,Fintech,"Automating consumer debt collection with AI. Founded in 2024 by Sean OBrien, CollectWise has 8 employees based in . CollectWise is hiring for 2 roles in engineering and sales.",https://collectwise.com,2024,,Sean OBrien,https://linkedin.com/in/sean-o-brien-412b28175,
Gecko Security,https://www.ycombinator.com/companies/gecko-security,Fall 2024,B2B; Security,"The AI Security Engineer to Find and Fix Vulnerabilities . Founded in 2024 by Jeevan Jutla and Artemiy Malyshau, Gecko Security has 2 employees based in San Francisco, CA, USA.",https://gecko.security,2024,"San Francisco, CA, USA",Jeevan Jutla; Artemiy Malyshau,https://www.linkedin.com/in/jeevan-jutla/; https://www.linkedin.com/in/artemiy-malyshau/,https://x.com/jjjutla; https://x.com/nkoorty
Curo,https://www.ycombinator.com/companies/curo,Fall 2024,Industrials; Automotive,"Electric fleets park and charge anywhere with Curo. Founded in 2023 by Kieran White, Curo has 6 employees based in San Francisco, CA, USA. Curo is hiring for 1 roles in engineering.",https://www.curocharging.com,2023,"San Francisco, CA, USA",Kieran White; Team Curo,https://linkedin.com/in/kieran-luke-white; https://www.linkedin.com/in/andrew--porter/,; 
Moonshine,https://www.ycombinator.com/companies/moonshine,Fall 2024,B2B,"Extending AI to interact with the real world. Founded in 2024 by Harsha Gundala and Ganesh Pimpale, Moonshine has 2 employees based in San Francisco, CA, USA.",https://usemoonshine.com,2024,"San Francisco, CA, USA",Ganesh Pimpale; Harsha Gundala,https://www.linkedin.com/in/ganesh-pimpale-864248155/; https://linkedin.com/in/harshagundala,; 
Tiny,https://www.ycombinator.com/companies/tiny,Fall 2024,B2B,"A new kind of ERP system for factories. Founded in 2024 by Edward Zhang, Tiny has 3 employees based in Singapore.",https://andtiny.com,2024,Singapore,Edward Zhang; The Problem,https://www.linkedin.com/in/edward-zhang-14685828/; https://www.linkedin.com/in/ldevalliere,; 
