Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
F2,https://www.ycombinator.com/companies/f2,Summer 2025,"B2B; Engineering, Product and Design","The AI platform for private markets investors. Founded in 2025 by Don Muir, F2 has 20 employees based in New York, NY, USA. F2 is hiring for 3 roles in engineering and operations.",http://f2.ai,2025,"New York, NY, USA",Don Muir,https://www.linkedin.com/in/don-muir,
Nox Metals,https://www.ycombinator.com/companies/nox-metals,Summer 2025,Industrials; Manufacturing and Robotics,"Supplying America's Industrial Base. Founded in 2025 by Zane Hengsperger, Nox Metals has 11 employees based in Detroit, MI, USA.",https://noxmetals.co,2025,"Detroit, MI, USA",Zane Hengsperger,https://www.linkedin.com/in/zanehh/,https://x.com/zanehengsperger
Blue,https://www.ycombinator.com/companies/blue,Summer 2025,Consumer,"Your phone finally has someone to run it. Plug in Blue, just ask. Founded in 2024 by Omar Abdelaziz, Farhan Hossain, and Peter Krogh, Blue has 6 employees based in .",https://heyblue.com,2024,,Omar Abdelaziz; Farhan Hossain; Peter Krogh,https://linkedin.com/in/oabdelaziz/; https://www.linkedin.com/in/mfarhanh/; https://www.linkedin.com/in/peter-krogh-820273/,https://x.com/OmarAbcXyz123; https://x.com/FarhanBuilds; 
Uplift AI,https://www.ycombinator.com/companies/uplift-ai,Summer 2025,B2B,"Foundational Voice Models for regional languages. Founded in 2024 by Hammad Malik and Zaid Qureshi, Uplift AI has 5 employees based in .",https://upliftai.org,2024,,Hammad Malik; Zaid Qureshi,https://www.linkedin.com/in/hammad2; https://linkedin.com/in/zaidqureshi,; https://x.com/zqureshi_
RealRoots,https://www.ycombinator.com/companies/realroots,Summer 2025,Consumer; Social,"AI social app for women. Founded in 2024 by Tara Kappel and Dorothy Li, RealRoots has 7 employees based in San Francisco, CA, USA.",http://www.therealroots.com,2024,"San Francisco, CA, USA",Dorothy Li; Tara Kappel,https://linkedin.com/in/dorothy-li-994a2213; https://linkedin.com/in/tara-kappel-5baa6095,; 
Freya,https://www.ycombinator.com/companies/freya,Summer 2025,Fintech,"Voice AI for Enterprises. Founded in 2025 by Tunga Bayrak and Tomas Nepala, Freya has 14 employees based in San Francisco, CA, USA.",https://freyavoice.ai,2025,"San Francisco, CA, USA",Tunga Bayrak; Tomas Nepala; The Problem:,https://www.linkedin.com/in/tunga-bayrak/; https://www.linkedin.com/in/tomas-nepala; https://www.linkedin.com/in/tunga-bayrak/,; https://x.com/TomasNepala; 
burnt,https://www.ycombinator.com/companies/burnt,Summer 2025,B2B; Supply Chain and Logistics,"Agentic Operating System for Food Supply Chain. Founded in 2023 by Joseph Jacob, Rhea Karimpanal, and Chandru Shanumugasundaram, burnt has 3 employees based in San Francisco, CA, USA. burnt is hiring for 1 roles in engineering.",https://getburnt.ai,2023,"San Francisco, CA, USA",Joseph Jacob; Rhea Karimpanal; Chandru Shanumugasundaram,https://www.linkedin.com/in/josephjacob93; https://www.linkedin.com/in/rheakarimpanal/; https://linkedin.com/in/chandrushanmugasundaram,https://x.com/Joseph_Jacob13; https://x.com/RheaKarimpanal; https://x.com/tweetchanshan
Ruvo,https://www.ycombinator.com/companies/ruvo,Summer 2025,Fintech,"The Global Dollar App for Brazil. Founded in 2025 by Alec Howard and Michael Mason, Ruvo has 6 employees based in São Paulo, State of São Paulo, Brazil.",https://ruvo.com,2025,"São Paulo, State of São Paulo, Brazil",Alec Howard; Michael Mason,https://linkedin.com/in/alexandermhoward; https://www.linkedin.com/in/mason-michael/,https://x.com/alecmhoward; 
Veritus,https://www.ycombinator.com/companies/veritus,Summer 2025,Fintech; Credit and Lending,"AI agents for the consumer lending industry. Founded in 2025 by Joshua March, David Schlesinger, and Joseph Stein, Veritus has 10 employees based in San Francisco, CA, USA. Veritus is hiring for 1 roles in engineering.",https://www.veritus.com,2025,"San Francisco, CA, USA",Joshua March; David Schlesinger; Joseph Stein; Company Launches,https://www.linkedin.com/in/joshuamarch/; https://www.linkedin.com/in/davidschles/; https://www.linkedin.com/in/josephstein1; https://www.linkedin.com/in/joshuamarch/,https://www.x.com/joshuamarch; ; https://www.x.com/josephstein; 
Outrove,https://www.ycombinator.com/companies/outrove,Summer 2025,B2B; Recruiting and Talent,"Ultra-realistic AI Recruiter. Founded in 2025 by Saif Elhager and Ahmed ElShireef, Outrove has 2 employees based in San Francisco, CA, USA.",https://www.outrove.ai,2025,"San Francisco, CA, USA",Ahmed ElShireef; Saif Elhager,https://www.linkedin.com/in/ahmedelshireef/; https://www.linkedin.com/in/saif-elhager-18b96a202,https://x.com/elshireef_ahmed; 
NOSO LABS,https://www.ycombinator.com/companies/noso-labs,Summer 2025,Industrials,"Build AI agents for field technicians to diagnose and sell 10x better. Founded in 2025 by Winston Chi and Alex Xi, NOSO LABS has 3 employees based in . NOSO LABS is hiring for 1 roles in engineering.",https://noso.so,2025,,Winston Chi,https://www.linkedin.com/in/lwchi/,
Vulcan Technologies,https://www.ycombinator.com/companies/vulcan-technologies,Summer 2025,B2B; Legal,"Frontier intelligence for government, policy, and law. Founded in 2025 by Tanner Jones and Chris Minge, Vulcan Technologies has 6 employees based in Austin, TX, USA. Vulcan Technologies is hiring for 3 roles in product, engineering, and sales.",https://vulcan.ai,2025,"Austin, TX, USA",Tanner Jones; Chris Minge,https://www.linkedin.com/in/tanner-jones-817192167/; https://www.linkedin.com/in/chrisminge,https://x.com/Tanner_H_Jones; 
Bizzy AI,https://www.ycombinator.com/companies/geo-ai,Summer 2025,B2B; Marketing,"Bizzy works 24/7 so you never miss a lead. Founded in 2025 by Rithvik Gabri and Ansh Sheth, Bizzy AI has  employees based in San Francisco, CA, USA.",https://www.usebizzy.com,2025,"San Francisco, CA, USA",Rithvik Gabri; Ansh Sheth,https://www.linkedin.com/in/rithvikgabri; https://www.linkedin.com/in/ansh-sheth-684b8a215/,https://x.com/rickgxa; https://x.com/AnshSheth4
Spotlight Realty,https://www.ycombinator.com/companies/spotlight-realty,Summer 2025,Real Estate and Construction,"AI powered brokerage reducing residential rental commissions in NYC…. Founded in 2025 by Raymond Allie, Jake Phelan, and Aryan Sharma, Spotlight Realty has 4 employees based in New York, NY, USA.",https://www.spotlight.realty,2025,"New York, NY, USA",Raymond Allie; Jake Phelan; Aryan Sharma,https://www.linkedin.com/in/raymond-allie/; https://www.linkedin.com/in/jacob-phelan-9359222a5; https://www.linkedin.com/in/aryansharma12358,; ; 
Interfere,https://www.ycombinator.com/companies/interfere,Summer 2025,"B2B; Engineering, Product and Design","Build software that never breaks. Founded in 2025 by Luke Shiels, Interfere has 7 employees based in New York, NY, USA. Interfere is hiring for 3 roles in engineering and marketing.",https://interfere.com,2025,"New York, NY, USA",Luke Shiels,https://linkedin.com/in/shiels,https://x.com/lukeshiels
Munify,https://www.ycombinator.com/companies/munify,Summer 2025,Fintech,"The Cross-Border Neobank for the Middle East. Founded in 2025 by Khalid Ashmawy, Munify has 4 employees based in .",https://munify.ai,2025,,Khalid Ashmawy,https://www.linkedin.com/in/khalidashmawy/,
