Name,YC Page,Batch,Industry,Description,Website,Founding Year,Headquarters,Founders,Founders_LinkedIn,Founders_Twitter
Maquoketa Research,https://www.ycombinator.com/companies/maquoketa-research,Spring 2026,Industrials; Defense,"Intelligent one-way attack drones. Founded in 2025 by Alejandro Hernandez, David Muchow, Aidan Williams, and Evan Yeager, Maquoketa Research has 5 employees based in Elk Grove Village, IL 60007, USA.",https://www.maquoketa.net,2025,"Elk Grove Village, IL 60007, USA",Evan Yeager; Alejandro Hernandez; David Muchow; Aidan Williams,https://www.linkedin.com/in/evanyeager; https://www.linkedin.com/in/alejandrohernandez2535/; https://www.linkedin.com/in/david-muchow-57775a398/; https://www.linkedin.com/in/aidan-williams-055ba626b/,; ; ; 
Framewise Health,https://www.ycombinator.com/companies/framewise-health,Spring 2026,Healthcare,"AI-personalized patient recovery videos. Founded in 2026 by David Cui and Tane Kim, Framewise Health has 2 employees based in San Francisco, CA, USA.",https://framewisehealth.com,2026,"San Francisco, CA, USA",David Cui; Tane Kim,https://www.linkedin.com/in/david-cui-589a20228/; https://www.linkedin.com/in/tanekim/,https://x.com/sourdoggy8?s=21; 
Playabl.ai,https://www.ycombinator.com/companies/playablai,Spring 2026,Consumer; Gaming,"Prompt-to-play AI game builder for everyone. Founded in 2025 by Hamza Al-Ali, Omar Jarrah, and Sanad Kiswani, Playabl.ai has 9 employees based in San Francisco, CA, USA.",https://playabl.ai,2025,"San Francisco, CA, USA",Hamza Al-Ali; Omar Jarrah; Sanad Kiswani,https://www.linkedin.com/in/hamzawy998; https://www.linkedin.com/in/omarjarrah/; https://www.linkedin.com/in/sanadkiswani,https://x.com/hamzawy998; ; 
Modern,https://www.ycombinator.com/companies/modern,Spring 2026,B2B; Operations,"AI agents for IT, HR & Operations teams. Founded in 2026 by Seb Poole and Aleks Tomovski, Modern has 2 employees based in San Francisco, CA, USA.",https://getmodern.ai,2026,"San Francisco, CA, USA",Seb Poole; Aleks Tomovski,; ,; 
Klaimee,https://www.ycombinator.com/companies/klaimee,Spring 2026,Fintech; Insurance,"Insurance for the agentic world. You deploy agents, we cover you. Founded in 2026 by Ines Boutemadja and Julien Catonnet, Klaimee has 2 employees based in .",https://www.klaimee.co,2026,,Ines Boutemadja; Julien Catonnet,https://www.linkedin.com/in/inesboutemadja; https://www.linkedin.com/in/julien-catonnet-18624162/,https://x.com/inesboutem; 
Gigacatalyst,https://www.ycombinator.com/companies/gigacatalyst,Spring 2026,"B2B; Engineering, Product and Design","Turn every customer workflow into a native part of your SaaS with AI. Founded in 2025 by Namanyay Goel, Gigacatalyst has 3 employees based in San Francisco, CA, USA.",https://gigacatalyst.com,2025,"San Francisco, CA, USA",Namanyay Goel,https://www.linkedin.com/in/namanyayg/,https://x.com/NamanyayG
Manicule,https://www.ycombinator.com/companies/manicule,Spring 2026,B2B,"AI Native Technical Documentation Studio. Founded in 2025 by Naman Bansal and Shreyans Jain, Manicule has 2 employees based in San Francisco, CA, USA.",https://manicule.dev,2025,"San Francisco, CA, USA",Naman Bansal; Shreyans Jain,https://linkedin.com/in/namban; https://linkedin.com/in/sjain07,https://x.com/namanbansal0611; https://x.com/CodeWShreyans
Mochatrade,https://www.ycombinator.com/companies/mochatrade,Spring 2026,Fintech; Consumer Finance,"US stock perps for global traders. Founded in 2026 by Parth Maheshwari, Chetan Manda, and Utkarsh Sinha, Mochatrade has 3 employees based in New York, NY, USA.",https://www.mochatrade.com,2026,"New York, NY, USA",Parth Maheshwari; Chetan Manda; Utkarsh Sinha,https://www.linkedin.com/in/parthm1801; https://www.linkedin.com/in/chetanmanda/; https://www.linkedin.com/in/utksn15/,https://x.com/_ParthVader_; https://x.com/theblackmanda; 
Asendia AI,https://www.ycombinator.com/companies/asendia-ai,Spring 2026,B2B; Human Resources,"Agentic recruitment platform. Founded in 2024 by Rihab Lajmi and Badis Zormati, Asendia AI has 3 employees based in San Francisco, CA, USA. Asendia AI is hiring for 2 roles in engineering and sales.",https://asendia.ai,2024,"San Francisco, CA, USA",Rihab Lajmi; Badis Zormati,https://www.linkedin.com/in/rihab-l-085182164/; https://www.linkedin.com/in/badis-zormati/,; https://x.com/zormati_ba
Indexable,https://www.ycombinator.com/companies/indexable,Spring 2026,B2B; Infrastructure,"sandbox infrastructure for AI agents. Founded in 2026 by Andrew Gazelka, Indexable has 3 employees based in San Francisco, CA, USA. Indexable is hiring for 1 roles in engineering.",https://ix.dev,2026,"San Francisco, CA, USA",Andrew Gazelka,https://linkedin.com/in/na,https://x.com/andrewgazelka
